iter	Passed	Remaining
0	1	138
1	2	140
2	3	129
3	5	124
4	6	123
5	7	120
6	8	117
7	9	114
8	11	112
9	12	110
10	13	108
11	14	106
12	15	103
13	16	104
14	18	102
15	19	100
16	20	98
17	21	97
18	22	95
19	23	94
20	25	94
21	26	92
22	27	90
23	28	89
24	29	87
25	30	86
26	31	85
27	32	84
28	33	83
29	35	81
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	74
36	42	73
37	44	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	105	7
93	106	6
94	107	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
